code,description
"G00","Meningite bacteriana não classificada em outra parte"
"G01","Meningite em doenças bacterianas classificadas em outra parte"
"G02","Meningite em outras doenças infecciosas e parasitárias classificadas em outra parte"
"G03","Meningite devida a outras causas e a causas não especificadas"
"G04","Encefalite, mielite e encefalomielite"
"G05","Encefalite, mielite e encefalomielite em doenças classificadas em outra parte"
"G06","Abscesso e granuloma intracranianos e intra-raquidianos"
"G07","Abscesso e granuloma intracranianos e intraspinais em doenças classificadas em outra parte"
"G08","Flebite e tromboflebite intracranianas e intra-raquidianas"
"G09","Seqüelas de doenças inflamatórias do sistema nervoso central"
"G10","Doença de Huntington"
"G11","Ataxia hereditária"
"G12","Atrofia muscular espinal e síndromes correlatas"
"G13","Atrofias sistêmicas que afetam principalmente o sistema nervoso central em doenças classificadas em outra parte"
"G20","Doença de Parkinson"
"G21","Parkinsonismo secundário"
"G22","Parkinsonismo em doenças classificadas em outra parte"
"G23","Outras doenças degenerativas dos gânglios da base"
"G24","Distonia"
"G25","Outras doenças extrapiramidais e transtornos dos movimentos"
"G26","Doenças extrapiramidais e transtornos dos movimentos em doenças classificadas em outra parte"
"G30","Doença de Alzheimer"
"G31","Outras doenças degenerativas do sistema nervoso não classificadas em outra parte"
"G32","Outros transtornos degenerativos do sistema nervoso em doenças classificadas em outra parte"
"G35","Esclerose múltipla"
"G36","Outras desmielinizações disseminadas agudas"
"G37","Outras doenças desmielinizantes do sistema nervoso central"
"G40","Epilepsia"
"G41","Estado de mal epiléptico"
"G43","Enxaqueca"
"G44","Outras síndromes de algias cefálicas"
"G45","Acidentes vasculares cerebrais isquêmicos transitórios e síndromes correlatas"
"G46","Síndromes vasculares cerebrais que ocorrem em doenças cerebrovasculares (I60-I67+)"
"G47","Distúrbios do sono"
"G50","Transtornos do nervo trigêmeo"
"G51","Transtornos do nervo facial"
"G52","Transtornos de outros nervos cranianos"
"G53","Transtornos dos nervos cranianos em doenças classificadas em outra parte"
"G54","Transtornos das raízes e dos plexos nervosos"
"G55","Compressões das raízes e dos plexos nervosos em doenças classificadas em outra parte"
"G56","Mononeuropatias dos membros superiores"
"G57","Mononeuropatias dos membros inferiores"
"G58","Outras mononeuropatias"
"G59","Mononeuropatias em doenças classificadas em outra parte"
"G60","Neuropatia hereditária e idiopática"
"G61","Polineuropatia inflamatória"
"G62","Outras polineuropatias"
"G63","Polineuropatia em doenças classificadas em outra parte"
"G64","Outros transtornos do sistema nervoso periférico"
"G70","Miastenia gravis e outros transtornos neuromusculares"
"G71","Transtornos primários dos músculos"
"G72","Outras miopatias"
"G73","Transtornos da junção mioneural e dos músculos em doenças classificadas em outra parte"
"G80","Paralisia cerebral infantil"
"G81","Hemiplegia"
"G82","Paraplegia e tetraplegia"
"G83","Outras síndromes paralíticas"
"G90","Transtornos do sistema nervoso autônomo"
"G91","Hidrocefalia"
"G92","Encefalopatia tóxica"
"G93","Outros transtornos do encéfalo"
"G94","Outros transtornos do encéfalo em doenças classificadas em outra parte"
"G95","Outras doenças da medula espinal"
"G96","Outros transtornos do sistema nervoso central"
"G97","Transtornos pós-procedimento do sistema nervoso não classificados em outra parte"
"G98","Outras transtornos do sistema nervoso não classificados em outra parte"
"G99","Outros transtornos do sistema nervoso em doenças classificadas em outra parte"
